launched_by_year,subcategory,goal_usd_log,comb_model_output,launch_yy_mm
2009,Software,6.214608098422191,0.9334068393100718,2009-04
2009,Software,4.59511985013459,0.9718690923062407,2009-04
2009,Software,8.699514748210191,0.991802843654222,2009-09
2009,Software,8.006367567650246,0.9953700656069632,2009-09
2009,Hardware,6.684611727667928,0.8495171142633641,2009-10
2009,Software,9.210340371976184,0.8138965384506458,2009-10
2009,Software,8.987196820661973,0.8557317320783577,2009-07
2009,Software,8.853665428037447,0.9382584951799504,2009-12
2009,Software,7.824046010856294,0.680849673849079,2009-10
2009,Hardware,8.160518247477505,0.9686268959776972,2009-11
2009,Software,6.907755278982138,0.9452267032250627,2009-09
2009,Software,6.551080335043403,0.81725234701773,2009-05
2009,Software,6.684611727667928,0.9568270056148392,2009-07
2009,Software,9.210340371976184,0.9885433457586136,2009-09
2010,Software,8.294049640102028,0.7543488802553454,2010-10
2010,Hardware,7.3132203870903005,0.9575565777080451,2010-11
2010,Software,7.544332108053688,0.8622567757317965,2010-07
2010,Apps,8.517193191416238,0.9781603328462968,2010-12
2010,Software,8.294049640102028,0.9885132512091086,2010-10
2010,Hardware,9.615805480084347,0.9876116618552208,2010-12
2010,Hardware,6.214608098422191,0.9787320960065458,2010-06
2010,Hardware,9.210340371976184,0.85975090689039,2010-02
2010,Software,8.517193191416238,0.9522166562877808,2010-03
2010,Software,7.600902459542082,0.9687603532234488,2010-01
2010,Software,8.517193191416238,0.9715564914264259,2010-11
2010,Software,8.517193191416238,0.9792999880544038,2010-05
2010,Robots,8.517193191416238,0.9976319358290652,2010-12
2010,Hardware,7.495541943884256,0.9694934722921305,2010-06
2010,Software,9.210340371976184,0.7595485877453643,2010-04
2010,Hardware,7.600902459542082,0.7209228716005524,2010-08
2010,Hardware,8.922658299524402,0.9482781279476012,2010-11
2010,Hardware,8.006367567650246,1.0,2010-02
2010,Software,8.922658299524402,0.9225796851105678,2010-12
2010,Hardware,7.3132203870903005,0.9678742469611908,2010-08
2010,Hardware,6.907755278982138,0.9781608946273954,2010-09
2010,Software,7.706162970199577,0.8845182932072276,2010-12
2010,Hardware,8.699514748210191,1.0,2010-06
2010,Software,8.444622498581403,0.9615290306211915,2010-08
2010,Hardware,7.3132203870903005,1.0,2010-06
2010,Hardware,9.104979856318355,0.8793543623757696,2010-03
2010,Software,7.3132203870903005,0.942656415566437,2010-03
